frame,gaussian_count,iteration,wall_seconds,peak_cuda_MiB
1,355520,7000,148.7397054869216,1197.04736328125
2,366922,7000,152.8426867859671,1229.228515625
3,356902,7000,150.9946838450851,1208.99072265625
4,360671,7000,150.62240824301261,1211.9140625
5,358871,7000,150.01047694205772,1204.3515625
6,353079,7000,152.55524585896637,1189.9599609375
7,352605,7000,152.1444530080771,1188.62548828125
8,351949,7000,150.29874383297283,1189.9384765625
9,354123,7000,151.01399855094496,1194.73974609375
10,359801,7000,151.18931225093547,1208.1455078125
11,358872,7000,151.07262113702018,1202.81201171875
12,352906,7000,149.8750441360753,1190.2236328125
13,347126,7000,150.57986818591598,1177.4765625
14,346480,7000,150.96553764503915,1177.51025390625
15,350437,7000,150.7946239960147,1192.2236328125
16,351824,7000,150.42544061003719,1183.9658203125
17,350267,7000,149.31150087004062,1184.79638671875
18,353108,7000,150.97283973603044,1192.1015625
19,350061,7000,148.5437189709628,1197.4091796875
20,351768,7000,150.8773628009949,1190.267578125
21,358422,7000,150.64643772598356,1210.51171875
22,351401,7000,149.36547548195813,1196.35986328125
23,349653,7000,151.56106957502197,1179.64892578125
24,358099,7000,151.34489902795758,1202.71923828125
25,350334,7000,148.45197115896735,1181.7373046875
26,352456,7000,151.7173341580201,1188.19970703125
27,349728,7000,150.40025920898188,1184.92724609375
28,354892,7000,150.57758144196123,1186.99560546875
29,346229,7000,149.48281086003408,1174.740234375
30,349742,7000,153.3838367179269,1189.830078125
31,344872,7000,150.48716821009293,1174.1083984375
32,352584,7000,149.91378278203774,1189.2490234375
33,345302,7000,150.41556685010437,1172.19677734375
34,351654,7000,151.26418246293906,1187.544921875
35,351385,7000,152.70622391498182,1188.5673828125
36,356204,7000,152.1990738210734,1199.27001953125
37,358715,7000,151.78964105807245,1206.8876953125
38,353583,7000,152.31141413992736,1192.4609375
39,351572,7000,151.02384268399328,1195.0244140625
40,354286,7000,152.3444726180751,1199.59619140625
41,357923,7000,150.52539812098257,1212.18017578125
42,350915,7000,150.54039985593408,1185.01025390625
43,355422,7000,151.77590509597212,1194.42626953125
44,353989,7000,152.23415882803965,1195.9853515625
45,358559,7000,150.1124155879952,1213.6552734375
46,351979,7000,151.14468910894357,1194.44970703125
47,361962,7000,151.18191392207518,1212.69921875
48,356108,7000,150.61895620008,1196.37646484375
49,355209,7000,150.72631701501086,1198.51708984375
50,357299,7000,149.9307322569657,1200.556640625
51,358983,7000,150.35129410296213,1214.6513671875
52,349501,7000,149.47211625205819,1181.16015625
53,351019,7000,151.25692826102022,1191.31689453125
54,356433,7000,149.49111589207314,1199.63134765625
55,348373,7000,150.27724073606078,1177.2900390625
56,349859,7000,150.1193445060635,1183.7890625
57,351052,7000,150.67752106802072,1180.63427734375
58,351117,7000,150.23897324397694,1184.91845703125
59,350984,7000,151.21131588995922,1179.93359375
60,355058,7000,150.59003747394308,1203.1337890625
61,351371,7000,152.3430878079962,1188.2392578125
62,353618,7000,149.2814428700367,1186.576171875
63,351592,7000,149.8528462399263,1189.5859375
64,356712,7000,150.63447522593196,1197.65185546875
65,353905,7000,149.32294002803974,1195.7080078125
66,349493,7000,150.35032953193877,1183.1533203125
67,352116,7000,149.7084481009515,1186.6787109375
68,355242,7000,150.42165611009113,1193.673828125
69,348280,7000,150.6015584549168,1178.2724609375
70,352843,7000,149.72032364201732,1184.677734375
71,354116,7000,149.94501941697672,1195.0859375
72,353194,7000,149.7019296051003,1192.9560546875
73,346898,7000,150.46366283798125,1173.05029296875
74,348463,7000,149.74620385607705,1176.73876953125
