iter,loss
100,0.019045012
200,0.0087388773
300,0.010776915
400,0.011852413
500,0.009704994
600,0.016445799
700,0.016412696
800,0.013998166
900,0.012912026
1000,0.01341869
1100,0.012108356
1200,0.011991926
1300,0.014496116
1400,0.01219846
1500,0.012484584
1600,0.011619106
1700,0.012635527
1800,0.01255272
1900,0.010697508
2000,0.012677316
2100,0.011774572
2200,0.013789892
2300,0.01205883
2400,0.011454607
2500,0.010571207
2600,0.01367538
2700,0.015429951
2800,0.01238255
2900,0.011772588
3000,0.013453951
3100,0.020142317
3200,0.013980838
3300,0.014916142
3400,0.014488759
3500,0.013649076
3600,0.012153389
3700,0.010827554
3800,0.013581412
3900,0.01144753
4000,0.011799982
4100,0.01794423
4200,0.010578191
4300,0.011351016
4400,0.011326783
4500,0.01280907
4600,0.011814449
4700,0.012909388
4800,0.012338411
4900,0.015100998
5000,0.010952071
5100,0.018206351
5200,0.010295397
5300,0.018083353
5400,0.011495425
5500,0.012031583
5600,0.011108184
5700,0.01063609
5800,0.012460293
5900,0.010026083
6000,0.01326726
6100,0.016826391
6200,0.01358735
6300,0.012621224
6400,0.013920183
6500,0.012957504
6600,0.012494056
6700,0.014096275
6800,0.011439512
6900,0.018675314
7000,0.011425213
*** LAST100_MEAN ***,0.011425213
