iter,loss
100,0.014574798
200,0.015515631
300,0.014253985
400,0.014657341
500,0.011414196
600,0.019474901
700,0.019388005
800,0.018304609
900,0.01786641
1000,0.018548984
1100,0.018410243
1200,0.014666984
1300,0.014661904
1400,0.013162408
1500,0.015050644
1600,0.013021026
1700,0.01466289
1800,0.012482712
1900,0.011948317
2000,0.015209898
2100,0.012547741
2200,0.01414184
2300,0.012714766
2400,0.011647872
2500,0.011559996
2600,0.012418436
2700,0.014679525
2800,0.01391053
2900,0.012770925
3000,0.01698627
3100,0.017280906
3200,0.016660176
3300,0.020272307
3400,0.016624337
3500,0.019478094
3600,0.01648416
3700,0.017107416
3800,0.01388674
3900,0.014049677
4000,0.013052993
*** LAST100_MEAN ***,0.013052993
