frame,gaussian_count,iteration,wall_seconds,peak_cuda_MiB
1,251542,30000,614.7555201959331,919.85791015625
2,247334,30000,620.6810030729976,882.54052734375
3,249422,30000,626.3304499629885,889.904296875
4,252274,30000,640.2443255030084,914.798828125
5,248172,30000,621.5012520949822,905.39892578125
6,248417,30000,627.091850417899,885.66015625
7,244496,30000,628.5354240019806,888.25732421875
8,238963,30000,628.2388097331859,884.07177734375
9,241474,30000,628.1268456971738,875.69189453125
10,247978,30000,626.1756897419691,893.6455078125
